TIME      DELTA         INSNs   OPERATION
frequency 10
0         [+0]          [+   1] 7f7ab0a14cc0
                        [+   1] 7f7ab0a14cc3 -> 7f7ab0a18c00
                        [+ 156]     7f7ab0a18e15 -> 7f7ab0a1f880
                        [+  17]     7f7ab0a18e75 -> 7f7ab0a2d040
                        [+ 362]         7f7ab0a2d300 -> 7f7ab0a2e2e0
                        [+   3]             7f7ab0a2e2e7 -> 7f7ab0a2e2e9
                        [+ 113]             7f7ab0a2d41c -> 7f7ab0a30dc0
                        [+   3]             7f7ab0a2d42a -> 7f7ab0a2e330
                        [+  11]             7f7ab0a2d45f -> 7f7ab0a159a0
                        [+  41]                 7f7ab0a15a6b -> 7f7ab0a2db70
                        [+  19]                 7f7ab0a15e16 -> 7f7ab0a1f9c0
                        [+  15]                     7f7ab0a1f9e9 -> 7f7ab0a30dc0
                        [+  19]                     7f7ab0a1fa21 -> 7f7ab0a14a90
                        [+  12]                     7f7ab0a1fa5b -> 7f7ab0a31d50
                        [+  11]                 7f7ab0a15e4f -> 7f7ab0a1f930
                        [+   7]                     7f7ab0a1f941 -> 7f7ab0a14d20
                        [+ 176]                 7f7ab0a15ff3 -> 7f7ab0a2f930
                        [+ 235]                 7f7ab0a16215 -> 7f7ab0a1f880
                        [+  11]                 7f7ab0a1624c -> 7f7ab0a1f9c0
                        [+  15]                     7f7ab0a1f9e9 -> 7f7ab0a30dc0
                        [+  19]                     7f7ab0a1fa21 -> 7f7ab0a14a90
                        [+  12]                     7f7ab0a1fa5b -> 7f7ab0a31d50
                        [+ 299]                 7f7ab0a16645 -> 7f7ab0a1f880
                        [+  14]                 7f7ab0a16693 -> 7f7ab0a30dc0
                        [+   3]                 7f7ab0a1669f -> 7f7ab0a14a80
                        [+   7]                 7f7ab0a166bb -> 7f7ab0a31d50
                        [+   7]                 7f7ab0a166d9 -> 7f7ab0a1f930
                        [+   7]                     7f7ab0a1f941 -> 7f7ab0a14d20
                        [+  11]                 7f7ab0a1671b -> 7f7ab0a2d9a0
                        [+  41]                     7f7ab0a2da5a -> 7f7ab0a314d0
                        [+  10]                 7f7ab0a172f3 -> 7f7ab0a1c2f0
                        [+  14]                     7f7ab0a1c320 -> 7f7ab0a22ff0
                        [+ 105]                         7f7ab0a232b7 -> 7f7ab0a2f1b0
                        [+   2]                             7f7ab0a2f1b5 -> 7f7ab0a2f1b7
                        [+  67]                             7f7ab0a2342a -> 7f7ab0a14a80
                        [+  18]                             7f7ab0a23749 -> 7f7ab0a31b20
                        [+   4]                             7f7ab0a2375d -> 7f7ab0a31b20
                        [+   4]                             7f7ab0a2376c -> 7f7ab0a31b20
                        [+   4]                             7f7ab0a23780 -> 7f7ab0a31b20
                        [+   3]                         7f7ab0a1c331 -> 7f7ab0a14a80
                        [+  16]                         7f7ab0a1c37e -> 7f7ab0a14a80
                        [+  33]                             __libc_memalign+121 -> 7f7ab0a2f270
                        [+  24]                                 7f7ab0a2f2a8 -> 7f7ab0a2f2aa
                        [+  18]                             7f7ab0a1c40c -> 7f7ab0a31a30
                        [+  31]                             7f7ab0a1c40c -> 7f7ab0a31a30
                        [+  31]                             7f7ab0a1c40c -> 7f7ab0a31a30
                        [+  31]                             7f7ab0a1c40c -> 7f7ab0a31a30
                        [+   3]                         7f7ab0a17301 -> 7f7ab0a24ea0
                        [+  56]                         7f7ab0a17433 -> 7f7ab0a27090
                        [+   5]                         7f7ab0a17467 -> _dl_debug_state
                        [+  15]                             7f7ab0a174ab -> 7f7ab0a2f1b0
                        [+   2]                                 7f7ab0a2f1b5 -> 7f7ab0a2f1b7
                        [+  20]                                 7f7ab0a174f5 -> 7f7ab0a21db0
                        [+  91]                                     7f7ab0a21fd8 -> 7f7ab0a2f710
                        [+   9]                                     7f7ab0a2200d -> 7f7ab0a24320
                        [+  13]                                         7f7ab0a2435a -> 7f7ab0a14d10
                        [+   8]                                         7f7ab0a2437c -> 7f7ab0a2f400
                        [+   6]                                         7f7ab0a24391 -> 7f7ab0a219a0
                        [+  14]                                             7f7ab0a219cd -> 7f7ab0a1c810
                        [+  33]                                                 7f7ab0a1c898 -> 7f7ab0a257b0
                        [+   7]                                                     7f7ab0a257c0 -> 7f7ab0a2f930
                        [+   9]                                                     7f7ab0a257ef -> 7f7ab0a2f930
                        [+  20]                                                 7f7ab0a1c898 -> 7f7ab0a257b0
                        [+   7]                                                     7f7ab0a257c0 -> 7f7ab0a2f930
                        [+   9]                                                     7f7ab0a257ef -> 7f7ab0a2f930
                        [+   8]                                                     7f7ab0a257ef -> 7f7ab0a2f930
                        [+  12]                                                 7f7ab0a1c8ca -> 7f7ab0a2f930
                        [+  15]                                                 7f7ab0a1c898 -> 7f7ab0a257b0
                        [+   7]                                                     7f7ab0a257c0 -> 7f7ab0a2f930
                        [+   9]                                                     7f7ab0a257ef -> 7f7ab0a2f930
                        [+  12]                                                 7f7ab0a1c8ca -> 7f7ab0a2f930
                        [+  18]                                                 7f7ab0a1c99f -> 7f7ab0a2f710
